,Date,Time,Open,High,Low,Close,Vol,<VOL2>,<SPREAD>,symbol,time,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2022.01.03,00:00:00,1.13693,1.13729,1.13645,1.13713,98,0,22,EURUSD,2022-01-03 00:00:00,0,0,0,1,1,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022.01.03,00:15:00,1.13708,1.13723,1.13688,1.13708,104,0,37,EURUSD,2022-01-03 00:15:00,15,0,0,1,1,2022,3,-6.232193731451711e-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022.01.03,00:30:00,1.13705,1.13734,1.13699,1.13731,146,0,34,EURUSD,2022-01-03 00:30:00,30,0,0,1,1,2022,3,1.9694512344456447e-06,0.0,0.0,82.63473053895262,0.0,0.0,0.0
3,2022.01.03,00:45:00,1.13731,1.13742,1.13718,1.13726,223,0,17,EURUSD,2022-01-03 00:45:00,45,0,0,1,1,2022,3,3.626786873123744e-06,0.0,0.0,69.68483371060057,0.0,0.0,0.0
4,2022.01.03,01:00:00,1.13725,1.13778,1.13717,1.13721,612,0,7,EURUSD,2022-01-03 01:00:00,0,1,0,1,1,2022,3,4.14167024008338e-06,0.0,0.0,59.963729740078215,0.0,0.0,0.0
5,2022.01.03,01:15:00,1.13726,1.13758,1.1369,1.13723,278,0,7,EURUSD,2022-01-03 01:15:00,15,1,0,1,1,2022,3,4.430662729385576e-06,0.0,0.0,62.14868020367565,0.0,0.0,0.0
6,2022.01.03,01:30:00,1.13726,1.13734,1.13688,1.13723,213,0,7,EURUSD,2022-01-03 01:30:00,30,1,0,1,1,2022,3,4.580337040459476e-06,0.0,0.0,62.14868020367565,0.0,0.0,0.0
7,2022.01.03,01:45:00,1.13726,1.13728,1.13687,1.13728,242,0,7,EURUSD,2022-01-03 01:45:00,45,1,0,1,1,2022,3,5.208636086671894e-06,0.0,0.0,66.97113490109275,0.0,0.0,0.0
8,2022.01.03,02:00:00,1.13728,1.13759,1.13702,1.13707,208,0,0,EURUSD,2022-01-03 02:00:00,0,2,0,1,1,2022,3,3.582904007194972e-06,0.0,0.0,43.108351752642506,0.0,0.0,0.0
9,2022.01.03,02:15:00,1.13704,1.13711,1.13662,1.13665,260,0,0,EURUSD,2022-01-03 02:15:00,15,2,0,1,1,2022,3,-3.905220769134649e-06,0.0,0.0,24.814813713626407,0.0,0.0,0.0
10,2022.01.03,02:30:00,1.13664,1.1367,1.13608,1.13625,306,0,1,EURUSD,2022-01-03 02:30:00,30,2,0,1,1,2022,3,-1.857834151410209e-05,0.0,0.0,17.49875243312502,0.0,0.0,0.0
11,2022.01.03,02:45:00,1.13623,1.13639,1.1361,1.13622,280,0,0,EURUSD,2022-01-03 02:45:00,45,2,0,1,1,2022,3,-3.645226325866134e-05,0.0,0.0,17.107429240714964,0.0,0.0,0.0
12,2022.01.03,03:00:00,1.13622,1.1365,1.13612,1.13631,217,0,0,EURUSD,2022-01-03 03:00:00,0,3,0,1,1,2022,3,-5.3761852942328314e-05,0.0,0.0,22.48699923475074,0.0,0.0,0.0
13,2022.01.03,03:15:00,1.13628,1.13654,1.13597,1.13628,227,0,1,EURUSD,2022-01-03 03:15:00,15,3,0,1,1,2022,3,-6.986730190364434e-05,0.0,0.0,21.994785545672542,0.0,0.0,0.0
14,2022.01.03,03:30:00,1.13615,1.13617,1.13497,1.13578,538,0,0,EURUSD,2022-01-03 03:30:00,30,3,0,1,1,2022,3,-9.024707679354137e-05,0.0,0.0,15.968413305192342,0.0,0.0,0.0
15,2022.01.03,03:45:00,1.13578,1.13604,1.13518,1.13588,367,0,0,EURUSD,2022-01-03 03:45:00,45,3,0,1,1,2022,3,-0.00011044753081779393,0.0,0.0,20.47642830202321,0.0,0.0,0.0
