,Date,Time,Open,High,Low,Close,Vol,<VOL2>,<SPREAD>,symbol,time,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2021.05.31,00:00:00,1.21993,1.22,1.21908,1.21947,210,0,18,EURUSD,2021-05-31 00:00:00,0,0,0,22,5,2021,31,0.0003738305715201294,1.2205458420378412,1.2188251579621587,53.952514340490225,10.790615658283906,1.2192,1.2183555000000001
1,2021.05.31,00:15:00,1.21963,1.21963,1.21892,1.21946,101,0,28,EURUSD,2021-05-31 00:15:00,15,0,0,22,5,2021,31,0.0003427308303251228,1.220515053092209,1.2188049469077908,53.894020948056145,10.5369658196778,1.2193006666666666,1.2183825
2,2021.05.31,00:30:00,1.21937,1.21971,1.21904,1.21964,150,0,12,EURUSD,2021-05-31 00:30:00,30,0,0,22,5,2021,31,0.0003189998449922811,1.2204105604878575,1.2188364395121425,54.80638458643466,10.333116685404164,1.2193980000000002,1.2184061666666666
3,2021.05.31,00:45:00,1.21966,1.21972,1.21954,1.21972,91,0,17,EURUSD,2021-05-31 00:45:00,45,0,0,22,5,2021,31,0.0003016807586446705,1.22036987820713,1.2188441217928703,55.21385412627416,10.141540845564307,1.219493,1.2184305000000002
4,2021.05.31,01:00:00,1.21955,1.21963,1.21921,1.21942,458,0,0,EURUSD,2021-05-31 01:00:00,0,1,0,22,5,2021,31,0.0002838145052276063,1.2203267750504447,1.2188322249495553,53.34794585625492,9.863475961019839,1.2195236666666667,1.2184438333333334
5,2021.05.31,01:15:00,1.21939,1.21944,1.21922,1.21924,242,0,0,EURUSD,2021-05-31 01:15:00,15,1,0,22,5,2021,31,0.0002630232110795631,1.2202277872253944,1.2188332127746058,52.25192448185849,9.594679905960186,1.2195653333333332,1.2184621666666666
6,2021.05.31,01:30:00,1.21924,1.21952,1.21915,1.21948,129,0,0,EURUSD,2021-05-31 01:30:00,30,1,0,22,5,2021,31,0.00024471804879090827,1.2200528954694032,1.218917104530597,53.567705040175134,9.277785508736311,1.219606,1.2184743333333332
7,2021.05.31,01:45:00,1.21947,1.21951,1.21928,1.21936,145,0,0,EURUSD,2021-05-31 01:45:00,45,1,0,22,5,2021,31,0.00022645844079322141,1.2199136526526988,1.2189753473473013,52.81490889058431,8.971454258086567,1.2196153333333335,1.2184838333333334
8,2021.05.31,02:00:00,1.21936,1.21964,1.2193,1.2193,191,0,0,EURUSD,2021-05-31 02:00:00,0,2,0,22,5,2021,31,0.0002077111746147341,1.219892875762641,1.2189631242373593,52.43377398270984,8.770662364594308,1.2196146666666665,1.2184778333333335
9,2021.05.31,02:15:00,1.2193,1.21946,1.2193,1.21938,175,0,0,EURUSD,2021-05-31 02:15:00,15,2,0,22,5,2021,31,0.00019044395390121674,1.21984254029061,1.2189734597093902,52.902567308426164,8.576563534218458,1.2196153333333333,1.2184716666666666
