,Date,Time,Open,High,Low,Close,Vol,<VOL2>,<SPREAD>,symbol,time,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2021.07.26,00:00:00,1.17677,1.17742,1.17677,1.17717,93,0,40,EURUSD,2021-07-26 00:00:00,0,0,0,30,7,2021,26,0.00013512253126290682,1.1776372033363864,1.1765547966636138,51.186433300323394,8.156833174027382,1.1767886666666665,1.1769206666666667
1,2021.07.26,00:15:00,1.17717,1.17738,1.17696,1.17727,72,0,28,EURUSD,2021-07-26 00:15:00,15,0,0,30,7,2021,26,0.00013210145752262387,1.1776147031268982,1.1766482968731018,51.86251473098897,7.885348860134771,1.176815,1.1769224999999999
2,2021.07.26,00:30:00,1.17728,1.17747,1.17704,1.17709,69,0,7,EURUSD,2021-07-26 00:30:00,30,0,0,30,7,2021,26,0.00012680909406208378,1.177557987828355,1.176759012171645,50.55859977863651,7.690814645192052,1.1768526666666665,1.1769228333333333
3,2021.07.26,00:45:00,1.1773,1.17738,1.17706,1.17738,102,0,7,EURUSD,2021-07-26 00:45:00,45,0,0,30,7,2021,26,0.00012470832169547753,1.1775654955082675,1.1768065044917326,52.54701896187682,7.502764904080758,1.1768986666666668,1.1769261666666668
4,2021.07.26,01:00:00,1.17723,1.17736,1.17687,1.17731,295,0,0,EURUSD,2021-07-26 01:00:00,0,1,0,30,7,2021,26,0.0001233170581461445,1.1775774099599092,1.176817590040091,52.02456391360925,7.341093322978745,1.1769473333333336,1.1769223333333332
5,2021.07.26,01:15:00,1.17731,1.1774,1.17719,1.17729,107,0,0,EURUSD,2021-07-26 01:15:00,15,1,0,30,7,2021,26,0.00012184328047315988,1.1775741060819622,1.1768178939180376,51.872127010955936,7.149067598154709,1.1769833333333333,1.1769326666666664
6,2021.07.26,01:30:00,1.1773,1.17737,1.17714,1.17735,95,0,0,EURUSD,2021-07-26 01:30:00,30,1,0,30,7,2021,26,0.00012107460188160277,1.177589840436284,1.1768251595637165,52.305829068677205,7.00890481128304,1.1770223333333332,1.1769381666666665
7,2021.07.26,01:45:00,1.17732,1.17742,1.17727,1.17741,131,0,0,EURUSD,2021-07-26 01:45:00,45,1,0,30,7,2021,26,0.00012146947258493722,1.1776081849764888,1.1768468150235114,52.74633681758579,6.823380350407056,1.1770523333333334,1.1769326666666666
8,2021.07.26,02:00:00,1.17741,1.17742,1.17727,1.17736,169,0,0,EURUSD,2021-07-26 02:00:00,0,2,0,30,7,2021,26,0.0001214983593733468,1.1776106369159787,1.1768843630840213,52.329680146616354,6.644040038226937,1.177098,1.1769183333333333
9,2021.07.26,02:15:00,1.17742,1.17745,1.17727,1.17732,160,0,0,EURUSD,2021-07-26 02:15:00,15,2,0,30,7,2021,26,0.00012038124426524301,1.1776084652900316,1.1769185347099684,51.98980650814533,6.436975925760752,1.1771423333333333,1.1769068333333332
10,2021.07.26,02:30:00,1.17732,1.17738,1.17725,1.17725,210,0,0,EURUSD,2021-07-26 02:30:00,30,2,0,30,7,2021,26,0.0001172132160668751,1.1775967811244763,1.1769562188755238,51.3856182343894,6.260804301466289,1.177165,1.1768896666666666
11,2021.07.26,02:45:00,1.17725,1.17732,1.17717,1.17729,164,0,0,EURUSD,2021-07-26 02:45:00,45,2,0,30,7,2021,26,0.00011329681255841462,1.1775972787157274,1.1769717212842723,51.71730701685216,6.188660559290391,1.1771893333333334,1.176887
12,2021.07.26,03:00:00,1.17729,1.17735,1.17689,1.17695,610,0,0,EURUSD,2021-07-26 03:00:00,0,3,0,30,7,2021,26,0.00010343391846953605,1.177609172229899,1.1769198277701014,48.7901860297565,6.424960783719981,1.1772026666666666,1.1768779999999999
13,2021.07.26,03:15:00,1.17695,1.17709,1.17678,1.1768,396,0,0,EURUSD,2021-07-26 03:15:00,15,3,0,30,7,2021,26,8.77319992775179e-05,1.177630185945055,1.1768388140549448,47.56162412045064,6.764664898810613,1.1772016666666665,1.1768873333333334
14,2021.07.26,03:30:00,1.1768,1.17685,1.17651,1.17664,387,0,0,EURUSD,2021-07-26 03:30:00,30,3,0,30,7,2021,26,6.644074729632768e-05,1.1776439998389783,1.1767370001610218,46.27583191836453,7.345157328870412,1.177187,1.1768866666666669
15,2021.07.26,03:45:00,1.17664,1.17666,1.17635,1.17664,553,0,0,EURUSD,2021-07-26 03:45:00,45,3,0,30,7,2021,26,4.2610900514576245e-05,1.177677715138377,1.1766462848616226,46.27583191836453,8.039143046824018,1.1771643333333333,1.1768823333333331
16,2021.07.26,04:00:00,1.17665,1.17699,1.17654,1.17671,574,0,0,EURUSD,2021-07-26 04:00:00,0,4,0,30,7,2021,26,1.9458801893111547e-05,1.1776630249418412,1.1765889750581586,46.94733175832364,8.285278944743007,1.1771506666666665,1.1768851666666664
17,2021.07.26,04:15:00,1.17671,1.17726,1.17668,1.17712,915,0,0,EURUSD,2021-07-26 04:15:00,15,4,0,30,7,2021,26,4.4421339507471634e-06,1.17762812514251,1.1765928748574899,50.682309505190275,8.235015051771983,1.1771543333333334,1.1768981666666667
18,2021.07.26,04:30:00,1.17713,1.17721,1.17692,1.17709,529,0,0,EURUSD,2021-07-26 04:30:00,30,4,0,30,7,2021,26,-5.176962104502405e-06,1.1776300336802883,1.1766029663197115,50.413657769346244,8.186426621899994,1.1771586666666667,1.1769008333333333
19,2021.07.26,04:45:00,1.17711,1.17725,1.17701,1.1771,526,0,0,EURUSD,2021-07-26 04:45:00,45,4,0,30,7,2021,26,-1.0737372255808748e-05,1.1776295032063284,1.1766244967936716,50.504127696158285,8.098428299291182,1.177162,1.1769131666666666
