,Date,Time,Open,High,Low,Close,Vol,<VOL2>,<SPREAD>,symbol,time,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2021.04.19,00:00:00,1.19716,1.19762,1.19709,1.19762,97,0,3,EURUSD,2021-04-19 00:00:00,0,0,0,16,4,2021,19,1.1450314179487953e-05,1.1984469968646518,1.197394003135348,48.79961578413542,10.215282715332702,1.1979726666666666,1.1979221666666668
1,2021.04.19,00:15:00,1.19764,1.19769,1.19732,1.19751,86,0,8,EURUSD,2021-04-19 00:15:00,15,0,0,16,4,2021,19,3.175462444063556e-06,1.1984611620453192,1.1973478379546807,48.01446193450813,10.300887027904517,1.197962,1.1979490000000002
2,2021.04.19,00:30:00,1.19751,1.19756,1.19729,1.19754,96,0,15,EURUSD,2021-04-19 00:30:00,30,0,0,16,4,2021,19,-8.723440132240936e-06,1.1984698842296442,1.197323115770356,48.24937425427258,10.403871088804904,1.1979286666666666,1.197967
3,2021.04.19,00:45:00,1.19757,1.19771,1.19747,1.19749,142,0,15,EURUSD,2021-04-19 00:45:00,45,0,0,16,4,2021,19,-2.3047905744135582e-05,1.1984609732415246,1.1972730267584755,47.876367710815195,10.365792947688298,1.1978903333333333,1.1979883333333334
4,2021.04.19,01:00:00,1.19752,1.19771,1.19695,1.19698,331,0,3,EURUSD,2021-04-19 01:00:00,0,1,0,16,4,2021,19,-4.6225976415785186e-05,1.1985201384477644,1.1971068615522358,44.265484701434886,10.681752577353507,1.1978520000000001,1.1979941666666667
5,2021.04.19,01:15:00,1.19698,1.19722,1.19691,1.197,273,0,1,EURUSD,2021-04-19 01:15:00,15,1,0,16,4,2021,19,-7.33138357815686e-05,1.1985263324068611,1.196982667593139,44.43549403212181,11.012878623966266,1.1978203333333333,1.1979951666666666
6,2021.04.19,01:30:00,1.19702,1.19715,1.19698,1.19712,225,0,1,EURUSD,2021-04-19 01:30:00,30,1,0,16,4,2021,19,-9.935065763104306e-05,1.19851324144292,1.1969007585570797,45.46795774950967,11.332967135691932,1.197784,1.1979973333333334
7,2021.04.19,01:45:00,1.19706,1.19724,1.19706,1.19712,104,0,1,EURUSD,2021-04-19 01:45:00,45,1,0,16,4,2021,19,-0.00012313737605679077,1.1985264889529246,1.1968305110470752,45.46795774950967,11.545195832033022,1.1977490000000002,1.1979700000000002
8,2021.04.19,02:00:00,1.19713,1.19736,1.19694,1.1972,273,0,1,EURUSD,2021-04-19 02:00:00,0,2,0,16,4,2021,19,-0.00014270982589818955,1.1985324024858608,1.1968135975141392,46.18140999870064,11.839944972626865,1.1977330000000002,1.1979511666666665
9,2021.04.19,02:15:00,1.19719,1.1973,1.19693,1.19693,191,0,1,EURUSD,2021-04-19 02:15:00,15,2,0,16,4,2021,19,-0.00016259726141950725,1.1985626313629183,1.196721368637082,44.164069231952986,12.132436252790853,1.1977016666666667,1.1979293333333334
10,2021.04.19,02:30:00,1.19693,1.19721,1.19681,1.19718,218,0,1,EURUSD,2021-04-19 02:30:00,30,2,0,16,4,2021,19,-0.00017728039559285698,1.198564982351978,1.1966780176480218,46.40652306642172,12.506248428570085,1.1976826666666667,1.1979258333333331
11,2021.04.19,02:45:00,1.19718,1.19731,1.19686,1.1969,274,0,1,EURUSD,2021-04-19 02:45:00,45,2,0,16,4,2021,19,-0.00019199503893478197,1.198564650972577,1.196584349027423,44.34315084508933,12.7503672175687,1.1976516666666666,1.1979110000000002
12,2021.04.19,03:00:00,1.1969,1.19699,1.19666,1.19668,343,0,1,EURUSD,2021-04-19 03:00:00,0,3,0,16,4,2021,19,-0.00020903044167395958,1.1985674804258002,1.1964595195741996,42.796491666658525,13.137022667236165,1.1976176666666667,1.1979003333333331
13,2021.04.19,03:15:00,1.19668,1.19695,1.19668,1.19684,252,0,1,EURUSD,2021-04-19 03:15:00,15,3,0,16,4,2021,19,-0.00022359829826971102,1.198484327415373,1.1964046725846271,44.25921343797192,13.510789601914711,1.1975763333333334,1.197891
14,2021.04.19,03:30:00,1.19684,1.1971,1.19668,1.19703,324,0,1,EURUSD,2021-04-19 03:30:00,30,3,0,16,4,2021,19,-0.0002323149088497885,1.1983882110114397,1.1963887889885603,45.95681918864966,13.692301330550988,1.1975423333333335,1.1978866666666665
15,2021.04.19,03:45:00,1.19703,1.1975,1.19607,1.19614,691,0,1,EURUSD,2021-04-19 03:45:00,45,3,0,16,4,2021,19,-0.0002505770701842579,1.1983707315558991,1.196207268444101,40.04677230636835,14.248845526476234,1.1974743333333333,1.1978586666666666
16,2021.04.19,04:00:00,1.19614,1.19638,1.19548,1.19571,510,0,1,EURUSD,2021-04-19 04:00:00,0,4,0,16,4,2021,19,-0.00028015414816050114,1.1983798168983713,1.1959531831016292,37.62821550150556,15.058332766860829,1.1973956666666665,1.197815
17,2021.04.19,04:15:00,1.1957,1.19576,1.19511,1.19516,498,0,1,EURUSD,2021-04-19 04:15:00,15,4,0,16,4,2021,19,-0.0003234091181820154,1.198436778327461,1.1955962216725389,34.84381345469639,15.982625541318832,1.1973113333333332,1.197766
18,2021.04.19,04:30:00,1.19517,1.19517,1.19436,1.19455,813,0,1,EURUSD,2021-04-19 04:30:00,30,4,0,16,4,2021,19,-0.0003819647078816316,1.1985493042365893,1.1951296957634103,32.11706789920527,17.11219692011206,1.1972193333333332,1.1977023333333332
19,2021.04.19,04:45:00,1.19457,1.19465,1.19426,1.1944,603,0,1,EURUSD,2021-04-19 04:45:00,45,4,0,16,4,2021,19,-0.0004485634363631069,1.198579517711584,1.194730482288416,31.49019575030212,18.23201607780143,1.1971143333333332,1.1976276666666665
20,2021.04.19,05:00:00,1.1944,1.1953,1.19432,1.1951,706,0,1,EURUSD,2021-04-19 05:00:00,0,5,0,16,4,2021,19,-0.0005045217750407303,1.198516443743287,1.1945415562567134,37.3897420783098,18.83159882081017,1.1970313333333331,1.1975638333333334
21,2021.04.19,05:15:00,1.1951,1.1951,1.19476,1.19495,389,0,1,EURUSD,2021-04-19 05:15:00,15,5,0,16,4,2021,19,-0.0005521207501611753,1.198451179966708,1.1943508200332922,36.689379817746826,19.411195472385288,1.196935,1.1975058333333335
