,Date,Time,Open,High,Low,Close,Vol,<VOL2>,<SPREAD>,symbol,time,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2021.04.12,00:00:00,1.18881,1.19018,1.18864,1.18983,160,0,22,EURUSD,2021-04-12 00:00:00,0,0,0,15,4,2021,12,0.00029306312232191967,1.1908842595939932,1.1896837404060066,50.517156431961446,12.711483617777338,1.1898396666666669,1.1893451666666666
1,2021.04.12,00:15:00,1.18975,1.19005,1.1892,1.18992,98,0,25,EURUSD,2021-04-12 00:15:00,15,0,0,15,4,2021,12,0.00026707860445434613,1.1908650979586815,1.1897199020413185,51.12434175541539,13.163024554919586,1.1898906666666667,1.1893635
2,2021.04.12,00:30:00,1.19005,1.19037,1.18957,1.19032,180,0,6,EURUSD,2021-04-12 00:30:00,30,0,0,15,4,2021,12,0.0002470201293401209,1.1908554759182566,1.1897715240817435,53.73448735670298,13.373612210016573,1.1899436666666667,1.1893885
3,2021.04.12,00:45:00,1.19032,1.19034,1.18893,1.18967,124,0,11,EURUSD,2021-04-12 00:45:00,45,0,0,15,4,2021,12,0.00022079410221554775,1.1908962310872864,1.1896977689127135,49.30793550178079,13.83432378261559,1.1899650000000002,1.1893976666666666
4,2021.04.12,01:00:00,1.18969,1.19013,1.18962,1.18983,254,0,1,EURUSD,2021-04-12 01:00:00,0,1,0,15,4,2021,12,0.00019412665678629433,1.1909068127247762,1.189638187275224,50.34945252017064,14.27967830279464,1.1899856666666666,1.1893991666666666
5,2021.04.12,01:15:00,1.18983,1.18993,1.18974,1.18992,165,0,1,EURUSD,2021-04-12 01:15:00,15,1,0,15,4,2021,12,0.0001695739339878762,1.190844216987277,1.1896187830127227,50.93604264811706,14.710187672301057,1.1900176666666666,1.1894028333333333
6,2021.04.12,01:30:00,1.1899,1.18995,1.18976,1.1899,272,0,1,EURUSD,2021-04-12 01:30:00,30,1,0,15,4,2021,12,0.00014692819105014158,1.190699237395328,1.189656762604672,50.79807771040325,15.110509245231293,1.1900653333333333,1.1894148333333334
7,2021.04.12,01:45:00,1.1899,1.19001,1.18976,1.18981,272,0,1,EURUSD,2021-04-12 01:45:00,45,1,0,15,4,2021,12,0.00012489405690596888,1.1906371094629387,1.1896368905370613,50.16554234649818,15.448487013007423,1.1901096666666666,1.1894138333333333
8,2021.04.12,02:00:00,1.18984,1.19009,1.18982,1.18997,343,0,1,EURUSD,2021-04-12 02:00:00,0,2,0,15,4,2021,12,0.00010666638075989193,1.1905733284082805,1.1896426715917194,51.28120978582938,15.706948335177525,1.1901380000000001,1.1894263333333333
9,2021.04.12,02:15:00,1.18995,1.19013,1.1899,1.19003,200,0,1,EURUSD,2021-04-12 02:15:00,15,2,0,15,4,2021,12,9.249419434617479e-05,1.1905406033353214,1.1896413966646786,51.70067945934897,15.921538893957132,1.190152,1.1894461666666665
