,Date,Time,Open,High,Low,Close,Vol,<VOL2>,<SPREAD>,symbol,time,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2021.03.29,00:00:00,1.17886,1.17909,1.17884,1.17894,30,0,34,EURUSD,2021-03-29 00:00:00,0,0,0,13,3,2021,29,0.0001767864041549778,1.180138973138221,1.1785740268617788,50.33325368114881,7.621989008681047,1.1792536666666666,1.1787613333333333
1,2021.03.29,00:15:00,1.17894,1.17917,1.17894,1.17901,36,0,27,EURUSD,2021-03-29 00:15:00,15,0,0,13,3,2021,29,0.00015758187615607042,1.1801210733841945,1.1785379266158058,50.80114907090043,7.410638788575871,1.1792746666666667,1.1787688333333335
2,2021.03.29,00:30:00,1.17889,1.17918,1.17889,1.17903,112,0,7,EURUSD,2021-03-29 00:30:00,30,0,0,13,3,2021,29,0.00013733463881863316,1.180079779879695,1.178513220120305,50.93776006145661,7.236260574858765,1.1792883333333333,1.1787833333333333
3,2021.03.29,00:45:00,1.17902,1.1791,1.17891,1.17907,67,0,26,EURUSD,2021-03-29 00:45:00,45,0,0,13,3,2021,29,0.00011782040832309412,1.1799947443126078,1.1785172556873924,51.21800866545758,7.0676949682655605,1.1793113333333334,1.1787958333333333
4,2021.03.29,01:00:00,1.17907,1.17932,1.17893,1.17921,420,0,2,EURUSD,2021-03-29 01:00:00,0,1,0,13,3,2021,29,0.00010175366221405936,1.179884393344388,1.1785546066556116,52.20646288597863,6.907652223849498,1.1793350000000002,1.178819
5,2021.03.29,01:15:00,1.17922,1.17936,1.17897,1.17917,291,0,1,EURUSD,2021-03-29 01:15:00,15,1,0,13,3,2021,29,8.781988409266735e-05,1.1798603906038563,1.1785496093961438,51.89566124873454,6.780516195884618,1.1793403333333334,1.1788343333333333
6,2021.03.29,01:30:00,1.17916,1.17927,1.17895,1.17899,435,0,1,EURUSD,2021-03-29 01:30:00,30,1,0,13,3,2021,29,7.288148650527526e-05,1.1798463946097681,1.178528605390232,50.49622314339197,6.642199711553773,1.1793343333333333,1.1788429999999999
7,2021.03.29,01:45:00,1.17899,1.17917,1.17889,1.17908,237,0,1,EURUSD,2021-03-29 01:45:00,45,1,0,13,3,2021,29,5.936629417113534e-05,1.1798467502539027,1.1785322497460975,51.177209644480925,6.460985459031889,1.1793336666666667,1.1788500000000002
8,2021.03.29,02:00:00,1.17908,1.1791,1.17877,1.17884,380,0,1,EURUSD,2021-03-29 02:00:00,0,2,0,13,3,2021,29,4.348726041056714e-05,1.1798226412922699,1.1785793587077305,49.306126678561924,6.304800606738198,1.179299,1.1788665
9,2021.03.29,02:15:00,1.17884,1.17905,1.17875,1.17875,286,0,1,EURUSD,2021-03-29 02:15:00,15,2,0,13,3,2021,29,2.5424008128752695e-05,1.1798182141274145,1.1785877858725855,48.61659299342361,6.171129940099012,1.1792686666666667,1.178881833333333
10,2021.03.29,02:30:00,1.17876,1.17893,1.17864,1.17882,214,0,1,EURUSD,2021-03-29 02:30:00,30,2,0,13,3,2021,29,7.997498185459599e-06,1.1798252171946253,1.1785687828053744,49.18833071962419,6.1377422381748215,1.179236666666667,1.1788881666666666
11,2021.03.29,02:45:00,1.17882,1.17884,1.17858,1.17874,248,0,1,EURUSD,2021-03-29 02:45:00,45,2,0,13,3,2021,29,-9.41096874110911e-06,1.1798380665558754,1.1785369334441247,48.549662404097504,6.158496562035705,1.1792096666666667,1.1788880000000002
12,2021.03.29,03:00:00,1.17873,1.17884,1.17854,1.17864,454,0,1,EURUSD,2021-03-29 03:00:00,0,3,0,13,3,2021,29,-2.7469538145946334e-05,1.1798392747320532,1.1784627252679465,47.74798143694162,6.214925801908565,1.179174666666667,1.1788843333333334
13,2021.03.29,03:15:00,1.17864,1.17896,1.17848,1.17873,420,0,1,EURUSD,2021-03-29 03:15:00,15,3,0,13,3,2021,29,-4.3490413071167486e-05,1.1797711037175305,1.1784368962824698,48.539130368695936,6.141961504092771,1.1791363333333331,1.1788788333333333
14,2021.03.29,03:30:00,1.17872,1.17874,1.17815,1.17819,498,0,1,EURUSD,2021-03-29 03:30:00,30,3,0,13,3,2021,29,-6.591052100324272e-05,1.1797800750590577,1.1782899249409424,44.36935380145286,6.3604362643422965,1.179078,1.1788558333333334
15,2021.03.29,03:45:00,1.17819,1.17824,1.17778,1.17805,495,0,1,EURUSD,2021-03-29 03:45:00,45,3,0,13,3,2021,29,-9.324963992889387e-05,1.1797301924967167,1.1781668075032836,43.3701158775122,6.849938393964232,1.179031,1.178836
16,2021.03.29,04:00:00,1.17805,1.17823,1.17784,1.17788,433,0,1,EURUSD,2021-03-29 04:00:00,0,4,0,13,3,2021,29,-0.00012473845377875204,1.1796707167150926,1.1780362832849074,42.17693852928455,7.323123785932102,1.1789823333333334,1.178819
17,2021.03.29,04:15:00,1.17787,1.17798,1.17751,1.1779,639,0,1,EURUSD,2021-03-29 04:15:00,15,4,0,13,3,2021,29,-0.0001565741278720906,1.1796575251786456,1.1778994748213543,42.36989890228927,8.007292885086395,1.1789443333333334,1.1788065
18,2021.03.29,04:30:00,1.17791,1.17858,1.1779,1.17854,559,0,1,EURUSD,2021-03-29 04:30:00,30,4,0,13,3,2021,29,-0.0001763906382844485,1.1796072845630525,1.177883715436948,48.10291603089347,8.076114881395977,1.178942,1.1788096666666665
19,2021.03.29,04:45:00,1.17855,1.17873,1.1784,1.17856,499,0,1,EURUSD,2021-03-29 04:45:00,45,4,0,13,3,2021,29,-0.0001869138372664978,1.1795266045268817,1.1778873954731182,48.26927862013167,8.014646585674384,1.1789370000000001,1.1788161666666668
20,2021.03.29,05:00:00,1.17854,1.1789,1.17832,1.17882,420,0,1,EURUSD,2021-03-29 05:00:00,0,5,0,13,3,2021,29,-0.00018648636261389825,1.1795151615005062,1.1778868384994938,50.40722936773229,7.817692853706968,1.178933,1.1788341666666668
21,2021.03.29,05:15:00,1.17881,1.1789,1.17861,1.17882,330,0,1,EURUSD,2021-03-29 05:15:00,15,5,0,13,3,2021,29,-0.0001787925866618923,1.1794948423609561,1.1778881576390434,50.40722936773229,7.627304246138467,1.1789293333333333,1.1788591666666666
22,2021.03.29,05:30:00,1.17882,1.17909,1.17873,1.17884,437,0,1,EURUSD,2021-03-29 05:30:00,30,5,0,13,3,2021,29,-0.00016622116148574324,1.179472884915084,1.177891115084916,50.575378902991766,7.459199188202828,1.1789116666666668,1.1788796666666668
23,2021.03.29,05:45:00,1.17884,1.17911,1.17848,1.17907,505,0,1,EURUSD,2021-03-29 05:45:00,45,5,0,13,3,2021,29,-0.0001472031678329938,1.1794728849150837,1.1778911150849158,52.49169832857506,7.320717445382299,1.1788916666666667,1.1789073333333333
24,2021.03.29,06:00:00,1.17907,1.17907,1.17857,1.17864,314,0,1,EURUSD,2021-03-29 06:00:00,0,6,0,13,3,2021,29,-0.00013166643766771946,1.1794043388301816,1.1779026611698185,48.830058099628594,7.186851760655786,1.1788606666666666,1.1789215
25,2021.03.29,06:15:00,1.17864,1.17887,1.17862,1.17878,258,0,1,EURUSD,2021-03-29 06:15:00,15,6,0,13,3,2021,29,-0.00011659244440319263,1.179347697563445,1.177920302436555,50.004677733080165,7.057448265420159,1.1788273333333334,1.1789413333333334
26,2021.03.29,06:30:00,1.17879,1.1788,1.17846,1.17862,270,0,1,EURUSD,2021-03-29 06:30:00,30,6,0,13,3,2021,29,-0.00010488565808651692,1.1793092457455265,1.177921754254473,48.683446440308344,7.058016657632292,1.1787886666666667,1.1789486666666666
27,2021.03.29,06:45:00,1.17863,1.17882,1.1786,1.17862,212,0,1,EURUSD,2021-03-29 06:45:00,45,6,0,13,3,2021,29,-9.566400530344354e-05,1.179251011080885,1.1779339889191154,48.683446440308344,7.04023844516499,1.1787626666666666,1.1789651666666667
28,2021.03.29,07:00:00,1.17861,1.17879,1.17836,1.17839,269,0,1,EURUSD,2021-03-29 07:00:00,0,7,0,13,3,2021,29,-9.193487840170844e-05,1.1792236375959253,1.177916362404075,46.78192732558679,7.207927907638638,1.1787356666666666,1.1789681666666667
29,2021.03.29,07:15:00,1.17839,1.17845,1.17829,1.17838,228,0,1,EURUSD,2021-03-29 07:15:00,15,7,0,13,3,2021,29,-9.179385328393438e-05,1.179204630922208,1.177898369077792,46.69988638616969,7.42256906508425,1.178704,1.178971
30,2021.03.29,07:30:00,1.17836,1.17836,1.17802,1.17812,331,0,1,EURUSD,2021-03-29 07:30:00,30,7,0,13,3,2021,29,-9.784810500946665e-05,1.1791839152825947,1.1778490847174057,44.596357372675456,7.824301544528906,1.1786766666666668,1.1789651666666667
31,2021.03.29,07:45:00,1.17812,1.17814,1.17784,1.17789,244,0,1,EURUSD,2021-03-29 07:45:00,45,7,0,13,3,2021,29,-0.0001109145624039153,1.179188110415663,1.177759889584337,42.83085942817058,8.331294458785186,1.1786393333333334,1.178957
32,2021.03.29,08:00:00,1.17789,1.17795,1.1777,1.17789,409,0,1,EURUSD,2021-03-29 08:00:00,0,8,0,13,3,2021,29,-0.00012743837245130234,1.179191505055035,1.1776814949449652,42.830859428170584,8.909806507809144,1.1786013333333332,1.1789448333333334
33,2021.03.29,08:15:00,1.17789,1.17796,1.17763,1.17785,453,0,1,EURUSD,2021-03-29 08:15:00,15,8,0,13,3,2021,29,-0.00014561069754368775,1.1791774606101237,1.1776075393898762,42.5175920596848,9.511889088025702,1.1785606666666666,1.178936
34,2021.03.29,08:30:00,1.17785,1.17794,1.17753,1.17769,480,0,1,EURUSD,2021-03-29 08:30:00,30,8,0,13,3,2021,29,-0.00016608448693856208,1.1792093994823576,1.177525600517642,41.268595319130014,10.15448162457247,1.17851,1.1789224999999999
35,2021.03.29,08:45:00,1.17769,1.17772,1.17734,1.17757,407,0,1,EURUSD,2021-03-29 08:45:00,45,8,0,13,3,2021,29,-0.0001884635094733739,1.1792485100327885,1.1774384899672115,40.348972696428284,10.886440235430662,1.1784566666666665,1.1788984999999998
36,2021.03.29,09:00:00,1.17758,1.17786,1.17729,1.17763,721,0,1,EURUSD,2021-03-29 09:00:00,0,9,0,13,3,2021,29,-0.00020947673847139875,1.1792692604292692,1.1773927395707304,41.02868330063,11.445885423689836,1.1784113333333333,1.1788728333333334
37,2021.03.29,09:15:00,1.17764,1.17833,1.17756,1.17787,745,0,1,EURUSD,2021-03-29 09:15:00,15,9,0,13,3,2021,29,-0.0002242258666647207,1.1792707528053925,1.1773882471946076,43.68402825770063,11.557914660791917,1.1783709999999998,1.1788523333333336
38,2021.03.29,09:30:00,1.17787,1.1782,1.17767,1.17789,636,0,1,EURUSD,2021-03-29 09:30:00,30,9,0,13,3,2021,29,-0.00023344545973237322,1.1792524299123142,1.1773415700876857,43.901784783412694,11.666209589990597,1.1783393333333334,1.1788191666666665
39,2021.03.29,09:45:00,1.17789,1.17842,1.1778,1.17807,660,0,1,EURUSD,2021-03-29 09:45:00,45,9,0,13,3,2021,29,-0.00023531207670917991,1.179224658214119,1.177320341785881,45.85115601292813,11.594311977998247,1.1783166666666667,1.1787926666666666
40,2021.03.29,10:00:00,1.17807,1.17895,1.17786,1.17858,947,0,1,EURUSD,2021-03-29 10:00:00,0,10,0,13,3,2021,29,-0.0002237990636183778,1.1791893697157971,1.1773316302842027,50.8564852523275,11.246943002719647,1.1783086666666664,1.1787726666666667
41,2021.03.29,10:15:00,1.17858,1.17884,1.17794,1.17883,804,0,1,EURUSD,2021-03-29 10:15:00,15,10,0,13,3,2021,29,-0.00020000480145380666,1.1791911476970887,1.1773308523029118,53.05691823897524,10.911152993283665,1.1783116666666666,1.1787606666666666
